no , model , rate
8 , Evaluation Test SSH Recall(Hybrid): , 1.0
8 , Evaluation Test False Positive Rate of total detection(RF): , 0.00463743676222597
8 , Evaluation Test False Positive Rate of total detection(DT): , 0.011277403035413153
8 , Evaluation Test False Positive Rate of total detection(Hybrid): , 0.011488195615514334
8 , Evaluation Test True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.12
9 , Random Forest Model Accuracy Rate (n=100): , 0.9964827145167965
9 , Decision Tree Model Accuracy Rate (depth=4): , 0.9662942482037392
9 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.7749689651280893
9 , Test Accuracy Rate of Test DATA(RF): , 0.941574622554472
9 , Test Accuracy Rate of Test DATA(DT): , 0.9717357751968063
9 , Test Accuracy Rate of Test DATA(Hybrid): , 0.5557610560714624
9 , Training/Validation Dataset Total Detection Rate(RF): , 0.9954250857796416
9 , Training/Validation Dataset Total Detection Rate(DT): , 0.9836065573770492
9 , Training/Validation Dataset Total Detection Rate(Hybrid): , 0.9832253145253527
9 , Training/Validation Dataset SSH Precision(RF): , 0.65625
9 , Training/Validation Dataset SSH Precision(DT): , 0.3333333333333333
9 , Training/Validation Dataset SSH Precision(Hybrid): , 0.328125
9 , Training/Validation Dataset SSH Recall(RF): , 0.9545454545454546
9 , Training/Validation Dataset SSH Recall(DT): , 0.9545454545454546
9 , Training/Validation Dataset SSH Recall(Hybrid): , 0.9545454545454546
9 , Training/Validation Dataset False Positive Rate of total detection(RF): , 0.004229142637447136
9 , Training/Validation Dataset False Positive Rate of total detection(DT): , 0.016147635524798153
9 , Training/Validation Dataset False Positive Rate of total detection(Hybrid): , 0.01653210303729335
9 , Training/Validation Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
9 , Evaluation Test Total Detection Rate(RF): , 0.9959003468937244
9 , Evaluation Test Total Detection Rate(DT): , 0.9894880689582677
9 , Evaluation Test Total Detection Rate(Hybrid): , 0.9893829496478503
9 , Evaluation Test SSH Precision(RF): , 0.3793103448275862
9 , Evaluation Test SSH Precision(DT): , 0.2
9 , Evaluation Test SSH Precision(Hybrid): , 0.1984126984126984
9 , Evaluation Test SSH Recall(RF): , 0.88
9 , Evaluation Test SSH Recall(DT): , 1.0
9 , Evaluation Test SSH Recall(Hybrid): , 1.0
9 , Evaluation Test False Positive Rate of total detection(RF): , 0.0037942664418212477
9 , Evaluation Test False Positive Rate of total detection(DT): , 0.010539629005059023
9 , Evaluation Test False Positive Rate of total detection(Hybrid): , 0.010645025295109613
9 , Evaluation Test True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.12
10 , Random Forest Model Accuracy Rate (n=100): , 0.9959936801715382
10 , Decision Tree Model Accuracy Rate (depth=4): , 0.9671030357747432
10 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.7417522476770868
10 , Test Accuracy Rate of Test DATA(RF): , 0.9545815118514878
10 , Test Accuracy Rate of Test DATA(DT): , 0.9722940755494623
10 , Test Accuracy Rate of Test DATA(Hybrid): , 0.5580136578804418
10 , Training/Validation Dataset Total Detection Rate(RF): , 0.9962518740629686
10 , Training/Validation Dataset Total Detection Rate(DT): , 0.982383808095952
10 , Training/Validation Dataset Total Detection Rate(Hybrid): , 0.9831334332833583
10 , Training/Validation Dataset SSH Precision(RF): , 0.7096774193548387
10 , Training/Validation Dataset SSH Precision(DT): , 0.3235294117647059
10 , Training/Validation Dataset SSH Precision(Hybrid): , 0.3333333333333333
10 , Training/Validation Dataset SSH Recall(RF): , 0.9565217391304348
10 , Training/Validation Dataset SSH Recall(DT): , 0.9565217391304348
10 , Training/Validation Dataset SSH Recall(Hybrid): , 0.9565217391304348
10 , Training/Validation Dataset False Positive Rate of total detection(RF): , 0.003402646502835539
10 , Training/Validation Dataset False Positive Rate of total detection(DT): , 0.017391304347826087
10 , Training/Validation Dataset False Positive Rate of total detection(Hybrid): , 0.0166351606805293
10 , Training/Validation Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
10 , Evaluation Test Total Detection Rate(RF): , 0.9962157048249763
10 , Evaluation Test Total Detection Rate(DT): , 0.9895931882686849
10 , Evaluation Test Total Detection Rate(Hybrid): , 0.9895931882686849
10 , Evaluation Test SSH Precision(RF): , 0.4
10 , Evaluation Test SSH Precision(DT): , 0.20161290322580644
10 , Evaluation Test SSH Precision(Hybrid): , 0.20161290322580644
10 , Evaluation Test SSH Recall(RF): , 0.88
10 , Evaluation Test SSH Recall(DT): , 1.0
10 , Evaluation Test SSH Recall(Hybrid): , 1.0
10 , Evaluation Test False Positive Rate of total detection(RF): , 0.0034780775716694774
10 , Evaluation Test False Positive Rate of total detection(DT): , 0.010434232715008433
10 , Evaluation Test False Positive Rate of total detection(Hybrid): , 0.010434232715008433
10 , Evaluation Test True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.12
11 , Random Forest Model Accuracy Rate (n=100): , 0.9962946243840048
11 , Decision Tree Model Accuracy Rate (depth=4): , 0.9677425422262348
11 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.7470375804085317
