Destination,Destination Port,Label,ssh,web
208.152.64.40,80,web,,13.0
208.152.64.42,80,web,,46.0
208.160.10.122,80,web,,72.0
208.160.10.123,80,web,,6.0
208.17.28.7,80,web,,4.0
208.192.182.96,80,web,,49.0
208.192.229.85,80,web,,1.0
208.193.67.31,80,web,,2.0
208.194.150.10,80,web,,21.0
208.204.155.10,80,web,,61.0
208.206.40.122,80,web,,11.0
208.206.42.111,80,web,,2.0
208.209.199.134,80,web,,40.0
208.209.46.36,80,web,,80.0
208.209.46.37,80,web,,25.0
208.213.76.164,80,web,,1.0
208.213.76.72,80,web,,1.0
208.216.182.15,80,web,,18.0
208.217.109.16,80,web,,39.0
208.217.109.20,80,web,,48.0
208.217.109.74,80,web,,36.0
208.218.130.20,80,web,,21.0
208.221.32.42,80,web,,2.0
208.221.32.46,80,web,,18.0
208.221.32.49,80,web,,3.0
208.223.142.33,80,web,,1.0
208.226.198.63,80,web,,12.0
208.226.198.79,80,web,,2.0
208.226.198.93,80,web,,49.0
208.228.228.212,80,web,,10.0
208.228.229.120,80,web,,193.0
208.236.171.160,80,web,,4.0
208.236.45.24,80,web,,2.0
208.237.178.21,80,web,,21.0
208.238.92.68,80,web,,67.0
208.24.181.221,80,web,,1.0
208.240.76.26,80,web,,2.0
208.240.76.5,80,web,,2.0
208.240.89.202,80,web,,10.0
208.240.91.72,80,web,,1.0
208.242.132.210,80,web,,1.0
208.246.212.141,80,web,,39.0
208.246.212.6,80,web,,12.0
208.246.240.242,80,web,,10.0
208.5.188.33,80,web,,3.0
209.1.105.37,80,web,,4.0
209.1.112.251,80,web,,96.0
209.1.112.252,80,web,,2.0
209.1.163.28,80,web,,5.0
209.1.203.50,80,web,,9.0
209.1.224.15,80,web,1.0,61.0
209.1.224.190,80,web,,508.0
209.1.249.8,80,web,,1.0
209.1.25.249,80,web,,1.0
209.1.55.139,80,web,,10.0
209.109.153.241,80,web,,1.0
209.113.183.114,80,web,,1.0
209.113.72.11,80,web,,4.0
209.116.84.57,80,web,,51.0
209.116.92.200,80,web,,29.0
209.121.111.41,80,web,,8.0
209.121.111.43,80,web,,3.0
209.130.23.169,80,web,,21.0
209.132.16.80,80,web,,8.0
209.132.18.18,80,web,,5.0
209.132.97.165,80,web,,1.0
209.133.83.18,80,web,,4.0
